Question_title,questions_description,Answer
Uköhsutha’,Indicate a person who has had a significant influence on you and describe that influence.,"“Go fish.” The vibrant smell of freshly crushed Roma tomatoes and oregano splashes across the dusty kitchen, letting me know that it’s time to stir the red sauce for tonight’s lasagna.Silence. My opponent stares defiantly. How dare I insult her with such a base command? She knows what she’s supposed to do.“Go ahead and draw,” I clarify. “I’m just getting up to stir the sauce.”“Are we going to have spaghetti?”“We’re going to eat lasagna in a couple hours.” I draw the wooden spoon through the sauce several times and return to the table. She hasn’t drawn a card. I give up. “Do you have a queen?” We used to play rummy and poker, but as my grandmother’s Alzheimer’s disease has entered its advanced stages, those games have become hopelessly complex. At any rate, it’s easier to throw occasional games of Go Fish in her favor.When Nana was first diagnosed, I decided that I would become a medical researcher and cure Alzheimer’s, that I would save her personally. I quickly discovered, however, that (a) the ten years I would need to finish med school meant that I would be too late to help her, and (b) I had little genuine interest in neuroscience. If I couldn’t help her keep her memories, though, I could at least keep them elsewhere. I took to asking questions voraciously about her life and writing down everything I learned. To me, the most striking part of her story was her relationship with the Seneca language. I only found out a few years ago that she was a fluent speaker, and she couldn’t understand my excitement; as she put it: “There’s nobody to talk it with. Why learn a language you can’t use?” Still, I managed to extract the word for “thank you” (“niawë’”) and a promise for her to teach it to me someday. Unfortunately, as her Alzheimer’s progressed, she lost her ability to speak the language.Subsequent attempts to find another way to learn Seneca brought my attention to the waning of tongues that aren’t part of the “big ten” languages spoken by almost 40% of the world’s population. Society’s increasing economic globalization has been accompanied by growing cultural homogeneity. However, minority languages and the cultures they describe offer unique perspectives on the world and lend valuable insights to the fields of anthropology, sociology, and cognitive science. After researching the issue, I concluded that we urgently need to create a definitive catalog of the world’s languages, recording and archiving those facing imminent extinction. Languages endangered right now can still be saved if we focus on encouraging bilingual education, pro-diversity public policy, and language revivals.Studying at Harvard will provide me with the tools I need to help implement these measures and contribute to the preservation of endangered languages. Like our elders, we have relegated the world’s cultural diversity to the pages of history. Just as I don’t expect to cure Alzheimer’s, I know that I cannot singlehandedly reverse the decline in linguistic diversity. However, there is little awareness of this problem, and few measures are being taken to solve it. If the wholehearted efforts of an individual can prevent just one culture and its language from being uköhsutha’ -- “left behind” -- then I believe it’s worth a try."
Finding an Allegiance,"Evaluate a significant experience, achievement, risk you have taken, or ethical dilemma you have faced and its impact on you.","After the September 11, 2001 attacks, the United States ceased to be the backdrop to my life and instead became an ideal, a cause, a veritable force. The autumn parade in my town, which had previously been a ragtag band of candy-throwing Girl Scouts and antique car collectors, suddenly became the American Pride Parade, now featuring Uncle Sam on stilts and flag-bearing Knights of Columbus. People wore their political views on their sleeves -- or, more accurately, their bumpers. The 2004 presidential elections only heightened the atmosphere of nationalism and strong political passions.It was in this environment that I attended my sophomore year of high school, equally absorbed by the political and social changes my country was experiencing and by the literature of my seminar-style English class. Daily we discussed the ideas behind such works as <i>Heart of Darkness</i> and <i>Les Misérables</i> and experienced those sparkling moments of intellectual unity when their relevance to our lives and to society suddenly became clear. My enthusiasm for society’s great books led me to Henry David Thoreau’s “Civil Disobedience,” and I was affected deeply by his notion that citizens are obliged to abstain from participating in institutions they view as corrupt.For some time, I had viewed the Pledge of Allegiance as a questionable daily ritual, but I had felt powerless to do anything about it. However, “Civil Disobedience” is a call to action as well as a critical inquiry, and after deciding to act on any conclusions I developed, I pondered the issue and decided that encouraging students to salute a flag and take an oath of allegiance is unacceptable in an academic setting, which should be kept as ideologically neutral as possible. Furthermore, it runs contrary to the idea in education that students should think critically and develop their own opinions on issues, essential to the functioning of democracy. Although (or perhaps because) I have a healthy respect for the First Amendment rights that come with being an American, I felt that I could no longer in good conscience participate in the Pledge of Allegiance, whether by reciting or by standing up. Participation would not only be hypocritical, but insulting to my classmates who did so out of genuine sentiment.The first time I stayed seated during the Pledge, I was prepared for the worst, and had even gone so far as to program the ACLU legal hotline into my cell phone. As I stared at my folded hands and tried to assume the facial expression of a noble dissenter rather than a traitor, I began to wonder if nonparticipation could change anything, whether it would be worth the social cost. However, the Pledge ended and my day proceeded as usual. No CIA agents detained me on my way out of class. No divine bolt split the heavens to smite me. No burning crosses appeared on my lawn. In fact, very few students noticed, and the ones who did showed no reaction beyond indifferent glances and friendly questions. Perhaps I had jumped to conclusions about my peers.About a month after I had stopped participating, however, a substitute teacher came to my chemistry class; he was a military veteran who expressed his patriotism in a more traditional way than I. The class knew he was serious when he urged everyone to “get up, stand up,” and they recited the Pledge with a resounding, crushing unity. The substitute noticed my nonparticipation immediately. Despite my attempts to explain that I meant no disrespect, and that my actions were legal under the 1943 Supreme Court case <i>West Virginia State Board of Education v. Barnette</i>, he yelled that I was ungrateful, disloyal, and should “get the hell out of [his] classroom.” Although I was terrified, I refused to move. He called the office and was informed that he had to let me stay.The next day, the substitute was gone, but my problems were not. Overnight, many of my peers had heard about the incident and developed opinions, and they couldn’t wait to inform me. Initially, the reaction was hostile; some students followed the substitute’s cue, and I became the object of shoves and pinches in the halls as well as admonitions to move to France. However, as students continued to confront me and I was given opportunities to explain my position, a startling thing happened: people started to discuss the Pledge of Allegiance among themselves, and they came to many different opinions on the issue. Extracurricular philosophical discussions are always exciting, and I found that voicing a dissenting opinion and standing up for it stimulated debate and a deeper exploration of the issue than many had ventured before.I now know that simply by maintaining one’s personal integrity, an individual can make a difference, even if only by inspiring debate and inquiry into an issue. This experience instilled in me the confidence I need to maintain my integrity and independence -- to be that individual -- in the future."
A Fire to be Kindled,Topic of choice,"<BLOCKQUOTE>“The mind is not a vessel to be filled, but a fire to be kindled.” --Plutarch</BLOCKQUOTE>I asked everyone how to write a perfect college essay. “Show your passion,” they said. “Proofread” was another common admonition. The most (and least) useful advice came from my film teacher and mentor, who urged me to “just relax and it’ll come.”I was putting the finishing touches on my piece at the end of October when four National Guardsmen showed up at my front door and told my family that we needed to evacuate our home immediately, that our house was threatened by the wildfire raging a few miles away, one of fourteen that had engulfed San Diego County in the last 24 hours.In the subsequent week, my family was shunted from a Denny’s parking lot to my uncle’s house to my grandparents’ house. The experience ranged from long, tedious hours of scouring grocery stores for bottled water to the bizarre experience of strolling down the Pacific shoreline with my best friend, singing “I Am the Walrus” and observing how the smoke in the sky had scorched the crisp autumn morning into twilight.Yes, I had felt sorry for the victims of the Indonesian tsunamis and Hurricane Katrina and donated to the Red Cross in the aftermath of those disasters. I spent three years volunteering at my local hospital. I thought I was passionate about helping people, but like some Gilded Age philanthropist, I had managed to help without having any idea of the refugee experience. Although I felt very strongly about my civic duty to help others at those times, living as an evacuee for a week alongside everyone else I knew instilled in me a redoubled passion to help society’s less fortunate.The reason I struggled for weeks trying to convey my desire to improve society was that although intellectually I wanted to help the marginalized peoples of the world, the idea of what it was to be in need was something I could only imagine. I no longer have to imagine it, though. I’ve lived it, if only for a week and with no long-term damage to health or property.That epiphany left me reexamining my passions and purpose in many aspects of my life, all while I’m attempting to chart its course. If my desire to help those in need was only galvanized by experiencing need, then how can I know that my other passions -- such as my love of learning, which I’ve had since childhood and have nurtured protectively over the years -- are genuine? There was no single experience that made me want to devour books and newspapers, to spend hours browsing the library of San Diego State University purely for pleasure. These things are in my nature, and I’ve always done them reflexively. But can I be truly passionate about learning if, like eating or sleeping, it’s something I’ve always done intuitively?I believe that I can. Passions formed in a crucible may determine what we do, but it is our long-term interests and beliefs that determine how we fare in difficult situations; this combination of past experience and reaction to our surroundings allows us to grow.My past will decide where I begin at university. I have my life experience thus far, an allegiance to integrity rather than tradition, a love of diversity and a willingness to do what it takes to preserve it, an insatiable hunger for knowledge, and a clear understanding of the benefits of helping those in need. More importantly, though, I understand that personal growth is about not only where you’ve come from, but also your reaction to the present. I know that attending university will enrich and change my perceptions of myself, my beliefs, and my world. I know that despite my convictions and goals, I may not follow the course I’ve charted in this application. I know that everything I have just written may be proven wrong.I can’t wait."
Remix,Topic of your choice.,"I sat down on the bench, apprehensive. I hadn’t touched the ivory keys in almost eight years. Instead, I had actively avoided them, treasuring instead the strings of my violin. In debates I claimed that it was harder to play my instrument, belittling the plunking keys. Yet now I found myself seeking the power of the piano again, wanting music that was its own partner.I began by sounding out the melody with my right hand. As the silky notes glided through the silence, I was reminded of my violin.This is where I belong. I am a violinist, a purveyor of sweet melodies. This was where I took tentative steps away from the strict notes and rhythms I had adhered to as a young pianist, as I discovered that music comes from the emotions spiraling from the thin black lines. On the violin, I can close my eyes, enthralled by the music, exploring to match the compositions racing through my head. I have spent Friday nights improvising with pianists, cellists, guitarists -- whomever I can find. I have been a street musician, spreading the joy that I already give myself. The first time I wandered downtown, I gathered a motley group of an accordionist and a cellist. We unpacked in an alley between two quaint cafes, away from questioning eyes, amidst the pink daisies of early spring. As we emerged onto the sidewalk, a chilling wind raced against our dancing fingers, countering the warmth of the afternoon sun settling on our skin. And we played. Passersby -- a wrinkled man, a dancing little girl, a gangly preteen -- stopped and stared, occasionally leaving spare change in exchange for the smiles that sprouted on their faces. As our improvisations managed to cut into their everyday lives -- lives that had been absorbed in their separate paths -- I found a pastime in the streets. The purity of a melody slicing through the air simply cannot be underestimated.Yet as the notes swelled throughout the room, I heard the force of the piano. There was no violin. Instead, I switched to the lower line of the music. The notes of the left hand outlined a beat that matched the sound of the drums.A year ago, a friend gave me his old drumsticks. I immediately raced to the old drum set in the student center to start banging away. Fortunately, no one was around to hear me miss beats and drop my sticks. I was playing as a violinist, not a drummer, without resolving the two instruments. My initial attempts occurred at 6:00 AM to hide behind the solitude of the sleeping campus. Eventually, my confidence, if not my skill, progressed to allow early arrivals to hear my offbeat screeches.Yet I heard the smoothness between the piano’s consistent beat. There were no drums. Together, my two hands created the perfect harmonies of the barbershop quartet I had started a year ago, born from a friendship formed in a theory class. We began by wandering around the school at lunchtime, singing our separate ways, until the next bell rang to shoo us off to class.But here the music will not end. As I began to deviate from the sheet music in front of me, I knew that I could delight in my right hand as long as my left hand stayed steady. The piano was only a remix, a compilation, of what I had done before. In time, my playing of the piano came into its own, becoming a springboard in itself to bigger and better things."
Soccer,Tell us something that you would like us to know about you that we might not get from the rest of your application – or something thatyou would like a chance to say more about.,"I was a master of my hometown, of its shortcuts, playgrounds, and potholes. I knew all of the secrets of Cary, North Carolina -- admittedly not difficult in our traditional, white, conservative community. The houses were, by law, as beige as their inhabitants.One early morning, I arrived at the park for a skateboarding tryst, expecting solitude on a Sunday. Yet as the sun began to rise, cars started pulling into the parking lot, filling the air with their clunks and door slams. What could possibly be going on at 7:00 on a church morning? I left the pavement to investigate.As I neared the soccer field, the composition of the noise began to change to the rolled “r”s and fluid syllables of the Spanish language. Suddenly, black and white whirled by my feet, and I raced to kick it back to the field. As I pivoted to send the ball flying back, I looked up to meet open-mouthed gapes. For a moment, we watched each other.Finally, a young man motioned for me to join them. I considered the offer. Something about foot-eye coordination simply evades me, and the players here could move. I knew I would embarrass myself, but I was going to try.“You play with us,” the man told me in a thick accent. A motion towards the chest indicated the shirts versus skins division of teams. Evidently I was the only female as well as the only non-Hispanic.I was even worse than I anticipated. I could run fast, but I simply could not keep the ball from getting stolen. Despite taking Spanish for two years, I could not comprehend the good-natured advice thrown at me from all sides. Yet I was thrilled to be accepted by these strangers, whose feet sliced the air around my own clumsiness. I smiled unabashedly at my teammates, trying to convey all of my excitement, gratitude, and apology at the same time. I think they understood.As the sun began to loom high overhead, men trickled away. The young man called out, “Next Sunday, 6:30.” I waved and stumbled away on my bike, nursing bruised knees and sore legs.Over the ensuing mornings of Sunday soccer, I was always the last to be chosen for teams. Nevertheless, the others soon learned that I was eager to talk if they spoke as if to a toddler. I never learned most of their names; I never knew where they were from or who their wives were. But it didn’t matter -- this was a community, and it was one of Cary’s true secrets. I may have found its roads, but I didn’t know its people. The real treasures, the surprises, lay in the scrawny 10-year-old boy and the heavyset 50-year-old man, out of breath yet still blending into the amalgamation of Hispanic males gathered to share their love of soccer. This is a group hidden in the shadows of time and place, emerging only through chance encounters of shared passions."
Leadership,"Using one of the leadership roles or extracurricular activities you prioritized as being important to you,describe what impact the experience had on you, what you contributed, what you learned about yourself,and how it has influenced your plans for the future.","Society must work together. People must endeavor to do everything they can so as to ensure that humanity upholds valuable ethics and a strong sense of goodwill. The I Club, sponsored by Rotary International, seeks to accomplish these goals on a worldwide scale. As the Treasurer of the I Club for the past three years, I have not only learned the importance of global service and international benevolence, but also the indispensable skills that have taught me to be a more effective leader and a more motivated individual.I was born in war-torn former Yugoslavia and relocated to the United States as a refugee of a war of genocide. I have always felt an obligation to my country to advocate global awareness and peace on an international scale. Accordingly, during my sophomore year of high school, I discovered I Club. I is an international organization of students aged twelve to eighteen with more than 250,000 participants in over 120 countries. As part of its undertaking, it ventures to promote service and global awareness among the youth.As an officer for my high school’s chapter of the I Club, I am accountable for the organization of a multitude of charitable events that benefit others on either a local or an international scale. In terms of local contributions, I have worked with my colleagues to organize a number of school enhancement and library beautification projects. Our chapter of the I Club has cultivated strong affiliations with local elementary schools and worked hard to make sure that I Club members are always available to offer our services at the schools. Moreover, as a leader of the club, I helped to regulate a number of service projects that contributed to international causes. During the aftermath of the devastating Japanese Tsunami in early 2011, our I Club worked to initiate a charity drive in which we sent boxes of food and supplies to victims of the natural disaster. Our chapter of the I Club also prides itself in having maintained a commitment to providing support for the eradication of the Polio disease worldwide. Today, Polio is impairing the lives of children in four countries – Pakistan, Afghanistan, India, and Nigeria. Although entirely avoidable with the administration of a simple vaccine, families in these countries live in such impoverishment that such a vaccine is exorbitant to them. Consequently, our club has worked to raise funds so as to help us join in the fight against this preventable disease. With enough persistence and tenacity, my fellow I Club members and I are more than convinced that our work will help to make a positive effect on the lives of hundreds of impoverished children in these developing countries.I Club has allowed me to raise awareness for those who are being born into the same impoverished and destitute conditions that I was born into, and I feel so fortunate to have escaped. Today, I fight to ensure that all people can have the opportunity that I was given to achieve something and to become successful."
An Intellectually Stimulating experience,"Describe an experience that you have had or a concept you have learned about that intellectually excites you. When answering this question, you may want to consider some of the following questions: Why does this topic excite you? How does it impact the way you or others experience the world? What questions do you continue to ponder about it? (750 word limit).","I woke up that morning with a feeling of dread. As I raced down to the bus stop through the twilight of the early morning, I felt my heart palpitating with anticipation and worry. Every second that the bus brought me closer to New Haven, my fear grew more intense. Even as I swiped my keycard at the gates of Yale University’s Osborn Memorial Laboratory, apprehension of what I might find out in the minutes ahead overcame me. Eventually, after mustering my courage, I stepped into the cool air of the staging area; first donning my lab coat, then the gloves, then the goggles. Each move felt mechanical and automatic, like the motions of any other day. Yet today was different: today I would discover if my toil and trouble that I had poured into this experiment was truly worth it. My hands, ever steady through countless trials, now shook from simultaneous fear and excitement.My heart plummeted as I opened the incubator. It appeared that my experiment had been a complete failure. I dreaded having to report my failure to my mentor; to my surprise, Dr. Davis was not in the least bit disappointed. He told me that often times, experiments may appear to be disasters, but that they still give us insights into the world around us. His goal, he said, was not to be always right; rather, he endeavoured to gain an understanding of the fundamental topics of science. My internship in Dr. Davis' lab gave me a greater understanding of “success,” not only in scientific research, but in life itself.Science is a passion which is often frustrating before becoming rewarding. I had always wondered how viruses infect cells and survive the hostile conditions of the human body; though invisible to our eyes, viruses and humans interact in so many different ways. Though my laboratory work tested my patience and seemed useless at that time, it helped me answer those questions that I had pondered since my childhood, while granting some small insight into the workings of the world we inhabit. As my summer internship progressed, I conducted innumerable trials and poured countless hours of effort into my work in the attempt to discover something concrete. Two weeks after my first, less-than-successful experiment, I was able to determine how certain strains of viruses are able to evolve at the molecular level to attain higher survival rates.My early experiments reminded me that I am not perfect. I can’t promise to cure cancer, fix the economy, or anything like that. What I can promise is that I will do my utmost to utilize whatever skills I have and have acquired, to the fullest of my ability. I want to engage in scientific research that expands the gamut of human knowledge, even if it is only a small contribution in the form of fundamental research. I revel in the true reward that comes from the thrill of discovery after the possible disappointment of failure. Results apart, scientists get involved in research for the pursuit of knowledge as an end in itself.I still wonder why my viruses could not survive under certain other conditions, but I learnt that innovation and discovery do not come from shirking away from the unknown, but rather from being a beacon of light in the darkness of ignorance. Like ancient explorers who charted the dark unknown for others to follow, I know that someday, some eager researchers will ask similar questions and utilize my work as the basis for their studies. I only hope that my contributions will help others as I continue upon my quest to help solve pressing medical problems that pervade the world around us."
My Cultural Identity,"Using the quotation below as a starting point, reflect on the role that culture plays in your life. “Culture is what presents us with the kinds of valuable things that can fill a life. And insofar as we can recognize the value in those things and make them part of our lives, our lives are meaningful.” Gideon Rosen, Stuart Professor of Philosophy, chair of the Council of the Humanities and director of the Program in Humanistic Studies, Princeton University.","At a strange intersection of customs exists my cultural essence; I am the product of an infinitely improbable arrangement of DNA. Seemingly, Fate threw darts at a board to select my parents from the world’s population, and just this once they landed on a Nicaraguan war refugee that I affectionately refer to as “mom” and an nth generation Irish naval corpsman from the suburbs known to me as “dad.” Such is life, and Austin came to be a child of divided culture: a child of two languages, two families, two coexisting and yet so vastly different identities.Mom’s dancing in the living room to her favorite Zumba workout tape, and Dad’s sitting in the kitchen, screening some Discovery special as he diligently finishes his paperwork; I exist as the fusion thereof.My Nicaraguan heritage is a subtle presence in the otherwise culturally homogenous sphere of vanilla blandness that is Fairview, Pennsylvania. However, upon visiting my family in Miami, I’m treated to the cultural variety that is the essence of what it means to be Hispanic. Two springs ago, my family and I found ourselves at the Calle Ocho festival, in the heart of Miami’s Little Havana. It was an awakening to the heritage I had yet to fully acknowledge; my integration into the Hispanic community transcends nationality and embraces the commonality of its members. The Cuban espresso shots I enjoyed served as my impromptu induction into my mother’s cultural community. It’s fitting I would rediscover myself in city my mother spent her teenage years; I found my heritage hiding in the festival’s rhythmic bongo beats.The Hispanic community is warmly welcoming, passionate and energetic, and I am proud to be a part of it. To be Hispanic in the United States is to denounce divisive nationalities and embrace newfound ethnic commonality. My mother has given me more than just a heritage language, she’s served as my liaison to a vibrant community full of el duende, a passionate energy whose variable and untranslatable meaning is yet another demonstration of the bonding nature of being Hispanic. When I speak to my Dominican friend, our connection extends beyond the superficial fact that we’re usually speaking Spanish. Our upbringings in a predominately Caucasian environment have been subtly interwoven with our mothers’ past heritage. There’s nothing better than having a dancing mother who chastises me in Spanglish to make my bed.I am an Irish-Nicaraguan who wishes to make the best of what his mother has given him. She’s connected me to a vibrant, welcoming community, and her dedication has allowed me to live without the poverty and disadvantage she had to withstand as an unfortunate byproduct of her community. I’m advantaged with a mother who has overcome obstacles far greater than those that I must face. My cultural experience has driven me to achieve through my duality: to succeed not just as Austin, but to succeed for the sake of validating my mother’s continuing efforts and for the diverse, energetic Hispanic connection she’s given me."
An International Affair,"5a.) In this essay, please reflect on something you would like us to know about you that we might not learn from the rest of your application, or on something about which you would like to say more. You may write about anything—from personal experiences or interests to intellectual pursuits. (Please answer in 500 words or less). Before you begin, we encourage you to go to http://admissions.yale.edu/essay, where you will find helpful advice.","I have always envied those amongst my peers who have figured out what they want to do with their lives, down to the exact job description. That highly pinpointed sense of direction and purposefulness in regards to my future is what I have always lacked, and consequently, always craved. Not until recently did the scattered pieces of my mental landscape begin forming themselves into a more cohesive map, with an ""X"" marking the spot of a career involving foreign affairs.In the jumble of classes at school, no subject has ever quite piqued my interest like Spanish has. One of my earliest childhood memories is of my kindergarten self, perched on a stool in a corner of my elementary school library, learning the letters of the Spanish alphabet. Whether it was because of my early introduction to foreign languages or not, my love for languages continues to be one of my greatest passions. Nevertheless, as I looked towards the future, I was faced with the troubling and also incorrect notion that a career involving foreign languages would have to be something along the narrow lines of linguist or translator, neither of which particularly interested me. With mounting pressure from my peers and society to decide on a life path, I was once again at a loss.However, during my second college visit to Yale, I met Caroline, a girl with similar passions to me whose major sounded too good to be true. She explained how she was majoring in Global Affairs, with a focus on international security. The little girl in me remembered watching in awe as Kim Possible the teenage spy upheld justice and defeated the baddies on TV, and it excited me that this was something I could perhaps even slightly emulate in my future career.This revelation coincided with the beginning of International Affairs, a class that I enrolled in because I thought it might come in handy one day. Little did I know that this simple choice would help me tremendously in orienting my life. Like many of my peers, my previous limited knowledge of global issues made me a casual bystander in my society rather than an active participant. However, after participating in simulations on, for example, the necessity of the United Nations or the United States' role in a changing world, I realized that the act of formulating and defending my opinions on these international issues, something that I had rarely done in the past, was something I greatly enjoyed. The class was the final push that I needed to continue the path that Caroline had inadvertently directed me towards. This new sense of direction, although by no means perfect, will at the least guide me in the coming years as I approach my life-changing college experience. Although I know that my chances of becoming an international CIA superspy are rather unlikely, the simple pleasure of having a general idea of what I want to pursue is enough for me."
My Favorite Room,"Describe a place or environment where you are perfectly content. What do you do or experience there, and why is it meaningful to you?","During my junior year of high school, I moved homes and got my own bathroom. For a sixteen-year-old, this is second best to getting your own car. I was elated. I would no longer have to worry about my brothers taking candid photos of me on the toilet and sending them to family and friends. Those days were gone. I soon discovered, though, that the bathroom was a special place for me.No, I didn’t turn my bathroom into a bachelor pad or a man cave. I instead developed a liking for my bathroom because of its ulterior meaning to me. The bathroom became a place for me to unwind, to have Jared time. It’s where I can process my day, Skype a long-distance friend, or just clear my mind. With my far from enjoyable digestive issues, my fondness of the bathroom is certainly questionable. Nevertheless, the bathroom provides me with time to myself. After a busy day of school, meetings, sports, play rehearsal, voice lessons, and homework, I go to the bathroom and I take some time to just slow down.My bathroom does not have any windows. While some may view this as a ventilation concern, it actually makes my escape much more vivid. I live in a small rural community where a boy becomes a man when he buys a snowmobile; where hunting, fishing, and mudding are practically the high school sports; and where school closes for two weeks for potato harvest. And though I am not a vice-presidential candidate, it’s also vital to mention that I can see Canada from my house. This town’s rich French culture and close-knit community has truly benefited my upbringing and impacted my character. Though I’m grateful to have grown up here, the community has limited me in many ways. With passions such as the arts, education, and volunteerism, I tend to stick out like a sore thumb. Going to the bathroom and not having windows to see where I really am helps me imagine where and what I could be. With so many of my peers not planning on going to college, not leaving this area, and not pursuing their true passions, I occasionally fear that my dreams will become only a fantasy instead of an attainable objective. But with a map of our world hanging proudly on the wall, my windowless bathroom stimulates my inner dreamer. Though at times I may feel trapped, small, or limited, my bathroom supports me and all that I can become.I play a lot of music in the bathroom. From classical to Indie rock, you’re bound to find me singing something. Furthermore, while brushing my teeth I’ll do a plie and practice my ballet positions. Yes, I like to dance. In fact, I’ve been dancing for years even though being the only boy in dance class in this small town has been quite difficult. I was constantly teased and tormented. My bathroom is like my safehaven. I can sing and dance and no one will laugh. It’s true: my bathroom allows me to freely express myself.Some of my best work hails from my bathroom. I’ve watched TED talks and have felt inspired to make change. I’ve sent emails and organized service projects. I’ve practiced a French speech in front of my mirror and I’ve rehearsed audition songs as if I’m in a recording studio. The person I am today and my list of accomplishments would be very different if it were not for my discovery of the bathroom. Though I’ve been using one for nearly my whole life, I never realized the importance of my time spent there. Without time to unwind, to think, and to discover myself, I wouldn’t have the confidence to be the person I know I am. I am Jared Michaud and I respectfully submit this essay from my bathroom."
"The ""Unsolvable"" Cube","The essay demonstrates your ability to write clearly and concisely on a selected topic and helps you distinguish yourself in your own voice. What do you want the readers of your application to know about you apart from courses, grades, and test scores? Choose the option that best helps you answer that question and write an essay of no more than 650 words, using the prompt to inspire and structure your response. Remember: 650 words is your limit, not your goal. Use the full range if you need it, but don't feel obligated to do so. (The application won't accept a response shorter than 250 words.)","Wedding bells were ringing in the background, and my fingers were deftly picking their way through the Rubik's Cube concealed under my blazer. The last wedding I had attended was in fourth grade -- a bubble boy in a lavender suitToday, my only role was to behold my two favorite teachers as they got married.Except, I couldn't quite focus on their wedding. went the cube as I spun through an algorithm that my Algebra teacher (the bride) had taught me. My mother bristled beside me, but I cared not for her disapproval. My Algebra teacher and her fiancé, my Physics teacher, had given me my first Rubik's Cube, and I was hell-bent on solving it.They would often be the sponsors of my obsessions throughout my high school career. Before the Rubik's Cube, I had taken up YuGiOh cards. After school I would hike to their classrooms and play against upperclassmen duelists. At first I couldn't beat any of them, and my Physics teacher (whose seemingly vitriolic banter was aimed at trying to encourage my growth) reminded me of those defeats dailyIt wasn't long before I was good enough with YuGiOh cards that I could defeat almost every other duelist in the school, except for one senior who brutally eviscerated me with her skills. Till this day I have never managed to beat her.Eventually, my Physics teacher suggested that I try my hand at something else He ducked into the storage room adjacent to his classroom and returned with a box full of dusty Rubik's cubes. He looked straight into my eyes and said ""I bet you won't be able finish one of these,"" before thrusting the box into my hands. He knew that I relish the idea of a challenge and excel in instances when someone tells me I cannot accomplish a goal. ""Bad bet,"" was my response.So ensued months of interminable hours spent probing the cube, trying to coerce it into its solved position. I fumbled with it during meals, after studying, and while walking home from school. I surrendered myself to trying to solve the Rubik's Cube, but it seemed like no matter how many times I came close to solving it, I could never get the colors to fall into neat, orderly rows.The morning of the wedding, I woke up determined to complete the cube before the ceremony ended. I snatched the cube off of my dresser and began to work, but no matter how furiously I tried to cajole the cube into solving itself, it continued to twist into infuriatingly random assortments of colors.As the ceremony started, my attempts became more frantic. Eventually, I diverted my eyes completely and focused on the cube. I probably would have grappled with it right through the end of the wedding, had it not been for an interruption by my senior rival. She sat down next to me, plucked the cube from my fingers, twisted one row into place and then solved the Cube within 30 seconds of elegant finger work. She gave me an amused smirk and slapped a note into my hand. When I glanced at it, I saw that it was from my Physics teacher, telling me that he had deliberately sabotaged the cubes so that they would be unsolvable, regardless of if I used the correct algorithms. He had purposefully given me an unreachable goal, simply to see if I would give up.""Sometimes the odds are stacked against you. But with that amount of perseverance you might just find a way to win even when it seems impossible,"" said my Physics teacher after pulling me aside the next day. Life is full of potentially insurmountable challenges. My experience with the ""seemingly unsolvable"" Rubik's Cube galvanized my drive to tackle the impossibilities in life and transform them into opportunities, to face the barriers that only hard work can overcome."
Child of the City,"In this essay, please reflect on something you would like us to know about you that we might not learn from the rest of your application, or on something about which you would like to say more. You may write about anything—from personal experiences or interests to intellectual pursuits. (Please answer in 500 words or less). Before you begin, we encourage you to go to http://admissions.yale.edu/essay, where you will find helpful advice. AND We’d like to know a little more about you. To that end, please choose one of the following questions and write a short response in the space below. We believe it is critical that your candidacy reflect the interests, experiences and pursuits that are most important to you. To this end, is there anything else you would like us to know?","I am a child of the city. My summer afternoons were spent baking under the tyranny of the sun, whose heat bounced unforgivingly off of the blacktop streets and the harsh, cement sidewalks. Blaring hip hop mixes and soulful R&B ballads filled my childhood. Block parties and cookouts. Freeze tag and quickly erected pools. I am a child of the city, tempered in the fires of urbanity, but of all of the places on this vast earth, the forest is the place that has my heart.The first time that I went camping, rain poured on my Boy Scout troop from the time that we entered the campsite until the time that we left. It was a wholly miserable experience, having to prop up tents in the dark of night while rain soaked into every fiber of my being. It seemed as though every attempt to keep the water from creeping into my tent was doomed to fail. But some love affairs only prosper under duress. Even with the less than pleasant weather, that camping trip was one of my best experiences. We hunted for snakes in thigh-high grass, scrambled up an old, twisted tree trunk; went on a night hike on an off-beaten trail; roasted marshmallows inside of a spitting fire and carved staffs out of fallen tree limbs. In the moonlight we chanted old scouting songs and learned more about one another than we ever would have if we were surrounded by concrete. By the time that I returned to the city after my first foray into the forest, I had abandoned the idea of being a child of the city. Why find comfort in the artificiality of a man-made creation, when Mother Nature was so willing to open up her arms to me?The first trip happened when I was in sixth grade, and now, as a twelfth grader, I value those camping trips more than ever before. When I am in the city I am a captive of the vicissitudes of urban living. There is no peace when you live in a Wi-Fi soup, because your fingers know nothing more than fumbling for the nearest device and trying to insert yourself into the global online community. And now, all of a sudden, you are connected and you cannot take yourself off the map. Every aspect of the human existence, both fortunate and unfortunate, assails you from all sides. Deadlines and nauseating news headlines fill your mind with unnecessary clutter. I am a child of the city, but life in the city is .So when I slip away on the weekends and find myself ambling through the foliage, I am liberated. And in many ways, these excursions have tempered my personality more than day to day experiences. In the forest I can reflect, and as a result I have become altogether more conscientious. I was born in the city, but ultimately, the forest is what raised me."
